,Id,Neighborhood,BedroomAbvGr,GrLivArea,YearBuilt,SalePrice
111,112,Gilbert,3,1430,2000,180000
112,113,CollgCr,4,2696,2007,383970
113,114,Crawfor,3,2259,1953,217000
114,115,Crawfor,3,2320,1945,259500
115,116,Somerst,2,1458,1999,176000
116,117,Sawyer,3,1092,1962,139000
117,118,Edwards,2,1125,2006,155000
118,119,SawyerW,5,3222,1990,320000
119,120,CollgCr,3,1456,2005,163990
120,121,ClearCr,1,988,1969,180000
121,122,IDOTRR,3,1123,1939,100000
122,123,NAmes,3,1080,1958,136000
123,124,SawyerW,2,1199,1993,153900
124,125,NWAmes,3,1586,1979,181000
125,126,IDOTRR,2,754,1935,84500
126,127,NPkVill,2,958,1976,128000
127,128,OldTown,3,840,1930,87000
128,129,NAmes,3,1348,1966,155000
129,130,NAmes,3,1053,1958,150000
130,131,NAmes,4,2157,1966,226000
131,132,Gilbert,3,2054,2000,244000
132,133,NAmes,3,1327,1959,150750
133,134,Timber,2,1296,2001,220000
134,135,Sawyer,3,1721,1968,180000
135,136,NWAmes,3,1682,1970,174000
136,137,NAmes,3,1214,1967,143000
137,138,Mitchel,5,1959,1988,171000
138,139,CollgCr,3,1852,1999,230000
139,140,CollgCr,3,1764,1997,231500
140,141,NAmes,3,864,1971,115000
141,142,CollgCr,3,1734,2005,260000
142,143,NAmes,4,1385,1952,166000
143,144,CollgCr,3,1501,1999,204000
144,145,Sawyer,6,1728,1963,125000
145,146,Edwards,3,1709,2004,130000
146,147,BrkSide,2,875,1931,105000
147,148,Gilbert,3,2035,2001,222500
148,149,SawyerW,3,1080,2004,141000
149,150,BrkSide,3,1344,1936,115000
150,151,CollgCr,3,969,1975,122000
151,152,NridgHt,2,1710,2007,372402
152,153,NWAmes,4,1993,1971,190000
153,154,ClearCr,1,1252,1960,235000
154,155,OldTown,4,1200,1923,125000
155,156,Edwards,2,1096,1924,79000
156,157,NAmes,2,1040,1950,109500
157,158,Timber,4,1968,2009,269500
158,159,Somerst,3,1947,2004,254900
159,160,Gilbert,4,2462,2005,320000
160,161,Veenker,3,1232,1984,162500
161,162,NridgHt,3,2668,2003,412500
162,163,NridgHt,3,1541,2005,220000
163,164,OldTown,1,882,1956,103200
164,165,OldTown,3,1616,1926,152000
165,166,Edwards,4,1355,1940,127500
166,167,ClearCr,2,1867,1955,190000
167,168,NridgHt,3,2161,2007,325624
168,169,Gilbert,3,1720,2004,183500
169,170,Timber,2,1707,1981,228000
170,171,OldTown,2,1382,1941,128500
171,172,NAmes,3,1656,1960,215000
172,173,StoneBr,2,1767,1987,239000
173,174,NAmes,3,1362,1961,163000
174,175,Timber,3,1651,1986,184000
175,176,Edwards,4,2158,1950,243000
176,177,ClearCr,4,2060,1988,211000
177,178,Sawyer,4,1920,1958,172500
178,179,StoneBr,1,2234,2008,501837
179,180,OldTown,2,968,1923,100000
180,181,Somerst,3,1525,2000,177000
181,182,Crawfor,4,1802,1920,200100
182,183,Edwards,3,1340,1957,120000
183,184,OldTown,3,2082,2003,200000
184,185,BrkSide,3,1252,1908,127000
185,186,OldTown,4,3608,1892,475000
186,187,Mitchel,3,1217,1990,173000
187,188,OldTown,3,1656,1916,135000
188,189,SawyerW,2,1224,1979,153337
189,190,StoneBr,0,1593,2001,286000
190,191,Crawfor,3,2727,1932,315000
191,192,NAmes,4,1479,1972,184000
192,193,CollgCr,3,1431,1999,192000
193,194,Edwards,3,1709,2004,130000
194,195,CollgCr,3,864,1972,127000
195,196,NPkVill,3,1456,1976,148500
196,197,Somerst,3,1726,2007,311872
197,198,NAmes,4,3112,1918,235000
198,199,OldTown,5,2229,1912,104000
199,200,NridgHt,3,1713,2004,274900
200,201,Edwards,2,1121,2003,140000
201,202,Mitchel,3,1279,1977,171500
202,203,OldTown,2,1310,1924,112000
203,204,CollgCr,1,848,2004,149000
204,205,OldTown,2,1284,1947,110000
205,206,Gilbert,3,1442,1990,180500
206,207,Sawyer,3,1696,1962,143900
207,208,NAmes,3,1100,1960,141000
208,209,SawyerW,3,2062,1988,277000
209,210,NAmes,3,1092,1964,145000
210,211,Edwards,2,864,1925,98000
211,212,Edwards,3,1212,2009,186000
212,213,Somerst,3,1852,2009,252678
213,214,CollgCr,3,990,1995,156000
214,215,CollgCr,3,1392,1977,161750
215,216,NAmes,2,1236,1957,134450
216,217,CollgCr,3,1436,2004,210000
217,218,OldTown,3,1328,1925,107000
218,219,Crawfor,3,1954,1939,311500
219,220,Blmngtn,2,1248,2005,167240
220,221,CollgCr,2,1498,2006,204900
221,222,Gilbert,4,2267,2002,200000
222,223,NWAmes,3,1552,1975,179900
223,224,NAmes,2,864,1971,97000
224,225,NridgHt,3,2392,2003,386250
225,226,BrDale,3,1302,1971,112000
226,227,NoRidge,4,2520,1995,290000
227,228,BrDale,2,987,1970,106000
228,229,Sawyer,3,912,1967,125000
229,230,Blmngtn,2,1555,2005,192500
230,231,NAmes,3,1194,1959,148000
231,232,NoRidge,4,2794,1995,403000
232,233,BrDale,2,987,1972,94500
233,234,CollgCr,3,894,1976,128200
234,235,Gilbert,4,1960,2002,216500
235,236,BrDale,2,987,1971,89500
236,237,CollgCr,3,1414,2004,185500
237,238,SawyerW,3,1744,1993,194500
238,239,NridgHt,3,1694,2007,318000
239,240,Edwards,3,1487,1945,113000
240,241,Somerst,3,1566,2008,262500
241,242,OldTown,2,866,1945,110500
242,243,OldTown,3,1440,1900,79000
243,244,SawyerW,3,1217,1980,120000
244,245,SawyerW,3,2110,1994,205000
245,246,NWAmes,3,1872,1988,241500
246,247,OldTown,4,1928,1910,137000
247,248,NAmes,2,1375,1954,140000
248,249,CollgCr,3,1668,2003,180000
249,250,ClearCr,4,2144,1958,277000
250,251,BrkSide,3,1306,1940,76500
251,252,Crawfor,2,1625,2006,235000
252,253,SawyerW,3,1640,2004,173000
253,254,NAmes,3,1302,1964,158000
254,255,NAmes,3,1314,1957,145000
255,256,Gilbert,4,2291,1999,230000
256,257,Somerst,3,1728,2003,207500
257,258,CollgCr,3,1604,2006,220000
258,259,CollgCr,3,1792,2001,231500
259,260,OldTown,2,882,1956,97000
260,261,NAmes,3,1382,1962,176000
261,262,CollgCr,3,2574,2007,276000
262,263,Sawyer,3,1212,1977,151000
263,264,OldTown,3,1316,1929,130000
264,265,OldTown,2,764,1925,73000
265,266,NWAmes,3,1422,1981,175500
266,267,Gilbert,3,1511,1997,185000
267,268,SWISU,4,2192,1939,179500
268,269,IDOTRR,2,778,1940,120500
269,270,Edwards,3,1113,1976,148000
270,271,Somerst,3,1939,2006,266000
271,272,ClearCr,2,1363,1954,241500
272,273,NoRidge,4,2270,1999,290000
273,274,NAmes,3,1632,1958,139000
274,275,Mitchel,2,816,1982,124500
275,276,BrkSide,3,1548,1925,205000
276,277,Mitchel,3,1560,2003,201000
277,278,Gilbert,2,864,1951,141000
278,279,NridgHt,3,2121,2006,415298
279,280,ClearCr,4,2022,1977,192000
280,281,SawyerW,3,1982,1989,228500
281,282,Somerst,2,1262,2006,185000
282,283,NridgHt,2,1314,2007,207500
283,284,Somerst,3,1468,2008,244600
284,285,SawyerW,2,1575,1992,179200
285,286,Somerst,2,1250,2006,164700
286,287,NAmes,3,1734,1962,159000
287,288,NAmes,3,858,1971,88000
288,289,Sawyer,3,900,1967,122000
289,290,BrkSide,3,1396,1915,153575
290,291,CollgCr,3,1919,2006,233230
291,292,SWISU,6,1716,1912,135900
292,293,Edwards,3,1716,1949,131000
293,294,NWAmes,3,2263,1977,235000
294,295,NAmes,3,1644,1953,167000
295,296,Mitchel,3,1003,1984,142500
296,297,IDOTRR,4,1558,1950,152000
297,298,Somerst,3,1950,1997,239000
298,299,NWAmes,3,1743,1968,175000
299,300,Crawfor,3,1152,1950,158500
300,301,Crawfor,2,1336,1953,157000
301,302,CollgCr,4,2452,1998,267000
302,303,CollgCr,3,1541,2001,205000
303,304,CollgCr,3,894,1972,149900
304,305,OldTown,3,3493,1880,295000
305,306,CollgCr,3,2000,2004,305900
306,307,SawyerW,4,2243,1990,225000
307,308,IDOTRR,3,1406,1920,89500
308,309,Edwards,1,861,1940,82500
309,310,NridgHt,3,1944,2003,360000
310,311,Gilbert,3,1501,1993,165600
311,312,NAmes,2,972,1948,132000
312,313,OldTown,3,1118,1939,119900
313,314,Timber,3,2036,1965,375000
314,315,OldTown,3,1641,1925,178000
315,316,Gilbert,3,1432,2004,188500
316,317,NWAmes,4,2353,1980,260000
317,318,Somerst,3,1959,2006,270000
318,319,NoRidge,4,2646,1993,260000
319,320,NWAmes,3,1472,1980,187500
320,321,NridgHt,4,2596,2006,342643
321,322,NridgHt,4,2468,2004,354000
322,323,SawyerW,4,2730,1986,301000
323,324,OldTown,3,1163,1955,126175
324,325,NAmes,5,2978,1967,242000
325,326,IDOTRR,2,803,1941,87000
326,327,Veenker,1,1719,1993,324000
327,328,NAmes,3,1383,1960,145250
328,329,BrkSide,5,2134,1916,214500
329,330,IDOTRR,3,1192,1920,78000
330,331,NAmes,6,1728,1964,119000
331,332,NAmes,3,1056,1958,139000
332,333,NridgHt,3,1629,2003,284000
333,334,NridgHt,2,1358,2004,207000
334,335,Gilbert,3,1638,1998,192000
335,336,Timber,3,1786,1965,228950
336,337,StoneBr,3,1922,2005,377426
337,338,CollgCr,3,1536,2002,214000
338,339,NWAmes,3,1621,1984,202500
339,340,NAmes,3,1215,1958,155000
340,341,Timber,4,1908,2002,202900
341,342,SawyerW,2,841,1950,82000
342,343,NAmes,2,1040,1949,87500
343,344,NridgHt,2,1684,2005,266000
344,345,MeadowV,3,1112,1976,85000
345,346,BrkSide,3,1577,1939,140200
346,347,NAmes,2,958,1960,151500
347,348,NAmes,3,1478,1960,157500
348,349,NridgHt,2,1626,2003,154000
349,350,NridgHt,4,2728,2005,437154
350,351,NridgHt,2,1869,2007,318061
351,352,ClearCr,2,1453,1986,190000
352,353,Edwards,3,1111,1941,95000
353,354,OldTown,2,720,1928,105900
354,355,SWISU,2,1595,1940,140000
355,356,CollgCr,3,1200,1995,177500
356,357,Gilbert,3,1167,1992,173000
357,358,MeadowV,3,1142,1976,134000
358,359,ClearCr,3,1352,1958,130000
359,360,NoRidge,3,1924,1998,280000
360,361,Mitchel,2,912,1978,156000
361,362,BrkSide,3,1505,1940,145000
362,363,Edwards,4,1922,2003,198500
363,364,BrDale,2,987,1972,118000
364,365,NWAmes,3,1574,1976,190000
365,366,IDOTRR,3,1344,1920,147000
366,367,NAmes,3,1394,1963,159000
367,368,NAmes,3,1431,1962,165000
368,369,NAmes,2,1268,1954,132000
369,370,NAmes,3,1287,1959,162000
370,371,Gilbert,3,1664,2000,172400
371,372,ClearCr,4,1588,1959,134432
372,373,SawyerW,2,752,1984,125000
373,374,NAmes,3,1319,1953,123000
374,375,CollgCr,4,1928,2003,219500
375,376,Edwards,1,904,1922,61000
376,377,CollgCr,2,914,1996,148000
377,378,Somerst,4,2466,2004,340000
378,379,StoneBr,1,1856,2010,394432
379,380,Gilbert,3,1800,2000,179000
380,381,SWISU,3,1691,1924,127000
381,382,Somerst,2,1301,2006,187750
382,383,CollgCr,3,1797,2006,213500
383,384,SawyerW,2,784,1928,76000
384,385,ClearCr,3,1953,1992,240000
385,386,Blmngtn,2,1269,2004,192000
386,387,Edwards,5,1184,1910,81000
387,388,Edwards,3,1125,1976,125000
388,389,CollgCr,3,1479,1999,191000
389,390,NridgHt,3,2332,2007,426000
390,391,Edwards,4,1367,1900,119000
391,392,Mitchel,3,1961,2001,215000
392,393,NAmes,3,882,1959,106500
393,394,BrkSide,2,788,1941,100000
394,395,OldTown,2,1034,1940,109000
395,396,Edwards,3,1144,1956,129000
396,397,CollgCr,2,894,1972,123000
397,398,NAmes,4,1812,1962,169500
398,399,IDOTRR,2,1077,1920,67000
399,400,Somerst,2,1550,2006,241000
400,401,Veenker,1,1288,1996,245500
401,402,CollgCr,3,1310,2005,164990
402,403,Sawyer,2,672,1940,108000
403,404,NoRidge,4,2263,1998,258000
404,405,Gilbert,3,1572,1995,168000
405,406,Sawyer,3,1620,1976,150000
406,407,SWISU,3,1639,1936,115000
407,408,Crawfor,4,1680,1915,177000
408,409,NridgHt,3,2172,2006,280000
409,410,Somerst,3,2078,2007,339750
410,411,Edwards,3,1276,1958,60000
411,412,Gilbert,3,1056,1955,145000
412,413,Somerst,2,1478,2009,222000
413,414,OldTown,2,1028,1927,115000
414,415,SawyerW,3,2097,1993,228000
415,416,Gilbert,3,1340,2007,181134
416,417,Sawyer,3,1400,1978,149500
417,418,Crawfor,4,2624,1918,239000
418,419,Edwards,3,1134,1940,126000
419,420,NAmes,3,1056,1968,142000
420,421,Mitchel,2,1344,1997,206300
421,422,NWAmes,3,1602,1977,215000
422,423,Mitchel,2,988,1954,113000
423,424,NoRidge,4,2630,1998,315000
424,425,NAmes,2,1196,1956,139000
425,426,OldTown,3,1389,1946,135000
426,427,SawyerW,2,1644,1989,275000
427,428,NAmes,3,907,1957,109008
428,429,CollgCr,2,1208,2007,195400
429,430,Timber,3,1412,1988,175000
430,431,BrDale,2,987,1971,85400
431,432,OldTown,4,1198,1920,79900
432,433,BrDale,2,1365,1971,122500
433,434,Gilbert,3,1604,1997,181000
434,435,MeadowV,1,630,1972,81000
435,436,CollgCr,3,1661,1996,212000
436,437,OldTown,2,1118,1920,116000
437,438,BrkSide,2,904,1926,119000
438,439,Crawfor,2,694,1913,90350
439,440,Edwards,3,1196,1920,110000
440,441,NridgHt,2,2402,2008,555000
441,442,Edwards,4,1440,1955,118000
442,443,BrkSide,3,1573,1930,162900
443,444,Blmngtn,2,1258,2006,172500
444,445,CollgCr,4,1908,1994,210000
445,446,Edwards,3,1689,1956,127500
446,447,NAmes,2,1888,1966,190000
447,448,Gilbert,4,1886,1998,199900
448,449,IDOTRR,3,1376,1937,119500
449,450,OldTown,2,1183,1948,120000
450,451,OldTown,2,813,1930,110000
451,452,ClearCr,2,1533,1975,280000
452,453,Timber,3,1756,1996,204000
453,454,Somerst,3,1590,2008,210000
454,455,Mitchel,4,1728,1976,188000
455,456,NWAmes,3,1242,1973,175500
456,457,OldTown,4,1344,1916,98000
457,458,ClearCr,2,1663,1954,256000
458,459,OldTown,3,1666,1925,161000
459,460,BrkSide,3,1203,1950,110000
460,461,Somerst,3,1935,2009,263435
461,462,SWISU,3,1135,1936,155000
462,463,Sawyer,3,864,1965,62383
463,464,Crawfor,3,1660,1934,188700
464,465,CollgCr,3,1040,1978,124000
465,466,Blmngtn,2,1414,2004,178740
466,467,NAmes,2,1277,1970,167000
467,468,NAmes,3,1644,1942,146500
468,469,NridgHt,3,1634,2006,250000
469,470,SawyerW,3,1710,1993,187000
470,471,StoneBr,1,1502,1985,212000
471,472,NWAmes,3,1969,1977,190000
472,473,Edwards,2,1072,2005,148000
473,474,NridgHt,2,1976,2006,440000
474,475,StoneBr,2,1652,2000,251000
475,476,Sawyer,2,970,1963,132500
476,477,CollgCr,3,1493,1997,208900
477,478,NridgHt,3,2643,2006,380000
478,479,CollgCr,3,1718,2007,297000
479,480,OldTown,2,1131,1937,89471
480,481,NridgHt,3,1850,2004,326000
481,482,NridgHt,2,1792,2003,374000
482,483,OldTown,4,1826,1915,155000
483,484,Mitchel,2,1216,1998,164000
484,485,Sawyer,3,999,1962,132500
485,486,NAmes,3,1113,1950,147000
486,487,NAmes,3,1073,1965,156000
487,488,NWAmes,3,1484,1971,175000
488,489,OldTown,3,2414,1900,160000
489,490,MeadowV,1,630,1970,86000
490,491,MeadowV,3,1304,1976,115000
491,492,NAmes,3,1578,1941,133000
492,493,Gilbert,3,1456,2006,172785
493,494,NAmes,3,1269,1960,155000
494,495,OldTown,2,886,1938,91300
495,496,IDOTRR,2,720,1920,34900
496,497,NoRidge,4,3228,1992,430000
497,498,BrkSide,4,1820,1925,184000
498,499,Sawyer,3,899,1967,130000
499,500,NAmes,2,912,1958,120000
500,501,BrDale,3,1218,1973,113000
501,502,Somerst,3,1768,2005,226700
502,503,Edwards,2,1214,1965,140000
503,504,Crawfor,1,1801,1959,289000
504,505,NPkVill,3,1322,1974,147000
505,506,OldTown,4,1960,1952,124500
506,507,SawyerW,3,1911,1993,215000
507,508,Somerst,2,1218,2009,208300
508,509,OldTown,3,1378,1928,161000
509,510,NAmes,3,1041,1959,124500
510,511,NAmes,2,1363,1951,164900
511,512,NridgHt,2,1368,2005,202665
512,513,NAmes,3,864,1958,129900
513,514,Mitchel,3,1080,1983,134000
514,515,Crawfor,2,789,1926,96500
515,516,NridgHt,3,2020,2009,402861
516,517,NWAmes,3,2119,1972,158000
517,518,NoRidge,3,2344,1996,265000
518,519,CollgCr,3,1796,1998,211000
519,520,Crawfor,3,2080,1926,234000
520,521,OldTown,3,1294,1900,106250
521,522,NAmes,3,1244,1957,150000
522,523,BrkSide,3,1664,1947,159000
523,524,Edwards,3,4676,2007,184750
524,525,NoRidge,3,2398,1996,315750
525,526,Somerst,3,1266,2005,176000
526,527,NAmes,2,928,1956,132000
527,528,NridgHt,3,2713,2008,446261
528,529,Edwards,2,605,1920,86000
529,530,Crawfor,4,2515,1957,200624
530,531,Timber,3,1509,1988,175000
531,532,BrkSide,3,1362,1920,128000
532,533,NAmes,2,827,1955,107500
533,534,BrkSide,1,334,1946,39300
534,535,Gilbert,3,1414,2004,178000
535,536,Edwards,3,1347,1910,107500
536,537,CollgCr,3,1724,1998,188000
537,538,NAmes,3,864,1972,111250
538,539,Sawyer,3,1159,1968,158000
539,540,CollgCr,3,1601,2001,272000
540,541,Timber,2,1838,2006,315000
541,542,NoRidge,4,2285,2000,248000
542,543,NWAmes,3,1680,1998,213250
543,544,NAmes,1,767,1998,133000
544,545,Gilbert,3,1496,2006,179665
545,546,NWAmes,4,2183,1988,229000
546,547,BrkSide,3,1635,1923,210000
547,548,Mitchel,2,768,1970,129500
548,549,OldTown,2,825,1955,125000
549,550,Somerst,4,2094,2003,263000
550,551,NPkVill,2,1069,1977,140000
551,552,OldTown,3,928,1957,112500
552,553,NridgHt,3,1717,2006,255500
553,554,Edwards,2,1126,1949,108000
554,555,NridgHt,3,2046,2003,284000
555,556,BrkSide,2,1048,1922,113000
556,557,NAmes,2,1092,1957,141000
557,558,IDOTRR,3,1336,1920,108000
558,559,Gilbert,3,1446,1996,175000
559,560,Blmngtn,2,1557,2003,234000
560,561,Sawyer,3,1392,1957,121500
561,562,Mitchel,2,1389,1974,170000
562,563,Edwards,3,996,1940,108000
563,564,Edwards,4,1674,1918,185000
564,565,NoRidge,4,2295,1992,268000
565,566,SWISU,4,1647,1915,128000
566,567,StoneBr,4,2504,2005,325000
567,568,NridgHt,3,1535,2004,214000
568,569,SawyerW,1,2132,1983,316600
569,570,NAmes,2,943,1979,135960
570,571,NAmes,6,1728,1965,142600
571,572,NAmes,2,864,1959,120000
572,573,Timber,3,1692,2009,224500
573,574,Gilbert,3,1430,2000,170000
574,575,NAmes,3,1109,1971,139000
575,576,NAmes,2,1216,1947,118500
576,577,SWISU,3,1477,1928,145000
577,578,Sawyer,3,1320,1966,164500
578,579,Somerst,2,1392,2007,146000
579,580,OldTown,4,1795,1954,131500
580,581,NAmes,3,1429,1960,181900
581,582,NridgHt,3,2042,2008,253293
582,583,Edwards,3,816,1990,118500
583,584,OldTown,3,2775,1893,325000
584,585,BrkSide,3,1573,1935,133000
585,586,Timber,2,2028,2005,369900
586,587,BrkSide,2,838,1918,130000
587,588,Sawyer,2,860,1982,137000
588,589,ClearCr,1,1473,1968,143000
589,590,BrkSide,2,935,1930,79500
590,591,CollgCr,3,1582,2004,185900
591,592,NridgHt,3,2296,2008,451950
592,593,Mitchel,2,816,1982,138000
593,594,CollgCr,1,848,2003,140000
594,595,CollgCr,3,924,1975,110000
595,596,StoneBr,3,1826,2005,319000
596,597,OldTown,3,1368,1910,114504
597,598,Blmngtn,2,1402,2006,194201
598,599,Crawfor,3,1647,1977,217500
599,600,Blueste,3,1556,1980,151000
600,601,NridgHt,3,1904,2005,275000
601,602,IDOTRR,3,1375,1937,141000
602,603,SawyerW,3,1915,1992,220000
603,604,Somerst,2,1200,2004,151000
604,605,CollgCr,3,1494,2002,221000
605,606,NAmes,3,1986,1965,205000
606,607,CollgCr,3,1040,1996,152000
607,608,Edwards,3,2008,1948,225000
608,609,Crawfor,4,3194,1934,359100
609,610,Sawyer,3,1029,1961,118500
610,611,CollgCr,3,2153,2000,313000
611,612,NWAmes,3,1032,1978,148000
612,613,CollgCr,3,1872,2001,261500
613,614,Mitchel,3,1120,2007,147000
614,615,MeadowV,1,630,1972,75500
615,616,NAmes,3,1054,1963,137500
616,617,Gilbert,3,1509,2002,183200
617,618,NAmes,2,832,1954,105500
618,619,NridgHt,3,1828,2007,314813
619,620,Timber,4,2262,2003,305000
620,621,Edwards,2,864,1914,67000
621,622,NWAmes,4,2614,1974,240000
622,623,Sawyer,3,980,1977,135000
623,624,Somerst,2,1512,2000,168500
624,625,NWAmes,4,1790,1972,165150
625,626,NAmes,3,1116,1962,160000
626,627,NAmes,3,1422,1960,139900
627,628,NAmes,3,1520,1955,153000
628,629,NAmes,5,2080,1969,135000
629,630,NAmes,3,1350,1964,168500
630,631,OldTown,3,1750,1880,124000
631,632,NridgHt,2,1554,2006,209500
632,633,NWAmes,3,1411,1977,82500
633,634,NAmes,3,1056,1954,139400
634,635,OldTown,0,1056,1980,144000
635,636,SWISU,8,3395,1914,200000
636,637,BrkSide,1,800,1936,60000
637,638,OldTown,3,1387,1954,93000
638,639,Edwards,2,796,1910,85000
639,640,Blmngtn,1,1567,2006,264561
640,641,NridgHt,1,1518,2003,274000
641,642,Somerst,3,1929,2001,226000
642,643,NAmes,4,2704,1972,345000
643,644,NWAmes,4,1620,1969,152000
644,645,Somerst,2,1766,2009,370878
645,646,NAmes,3,981,1971,143250
646,647,NAmes,3,1048,1950,98300
647,648,Edwards,3,1094,1953,155000
648,649,NAmes,4,1839,1966,155000
649,650,MeadowV,1,630,1970,84500
650,651,Somerst,3,1665,2007,205950
651,652,Edwards,4,1510,1940,108000
652,653,CollgCr,2,1716,1996,191000
653,654,IDOTRR,3,1469,1906,135000
654,655,NoRidge,2,2113,1995,350000
655,656,BrDale,3,1092,1971,88000
656,657,NAmes,3,1053,1959,145500
657,658,Crawfor,3,1502,1931,149000
658,659,NAmes,3,1458,1948,97500
659,660,Edwards,3,1486,1964,167000
660,661,NWAmes,3,1935,1976,197900
661,662,NoRidge,4,2448,1994,402000
662,663,NAmes,2,1392,1968,110000
663,664,Edwards,3,1181,1972,137500
664,665,Somerst,1,2097,2005,423000
665,666,Gilbert,3,1936,2000,230500
666,667,NAmes,3,2380,1965,129000
667,668,SawyerW,3,1679,1994,193500
668,669,Sawyer,3,1437,1956,168000
669,670,Crawfor,2,1180,1922,137500
670,671,CollgCr,3,1476,2005,173500
671,672,Edwards,3,1369,1925,103600
672,673,Veenker,3,1208,1977,165000
673,674,Crawfor,3,1839,1957,257500
674,675,NAmes,3,1136,1965,140000
675,676,NPkVill,3,1441,1978,148500
676,677,OldTown,4,1774,1900,87000
677,678,OldTown,2,792,1924,109500
678,679,StoneBr,3,2046,2008,372500
679,680,Sawyer,3,988,1961,128500
680,681,SawyerW,2,923,1980,143000
